Distancia_Casa;Distancia_Ultima_Transacao;Valor_Transação;Mesmo_Varejista;Cartao_Credito_Fisico;Utilizando_Senha;Pedido_Online;Fraude
17.80169132;1.296367968;466.36;1;0;1;1;0
5.005298891;1.889715088;514.6;1;0;0;1;0
15.61575992;1.126042925;837.69;1;1;0;1;0
78.06538707;0.535578975;342.12;1;1;0;1;0
35.04290903;0.073557717;1103.91;1;0;0;1;0
12.96821899;3.428904456;1313.38;1;0;1;1;0
17.79347879;5.032131852;12176.72;1;1;0;1;1
2.060335167;1.204821782;2046.43;1;0;0;1;0
2.492786348;15.37711011;2068.96;1;1;0;1;0
6.985218144;2.870057898;700.98;1;1;1;1;0
13.63353008;0.196927356;832.36;1;0;0;1;0
25.49655863;0.033754217;681.64;1;0;0;0;0
2.569974586;1.214259513;262.75;1;0;0;1;0
40.89348119;1.480678271;907.55;1;0;0;1;0
1.330123394;2.399400224;535.65;0;0;0;0;0
3.700155482;1.023002362;806.07;1;0;0;0;0
2.395385989;0.23408337;1800.61;1;1;0;0;0
17.31691906;0.306798531;1084.03;1;0;0;1;0
2.636247627;1.845863504;2817.33;1;0;0;1;0
24.80464471;20.08812234;4496.68;1;1;0;1;1
0.839105424;4.221774329;404.53;0;0;0;1;0
9.660046092;0.13266892;6511.5;1;0;0;1;1
80.60721741;0.364156148;1292.69;1;0;0;1;0
157.8260469;85.21609986;874.15;1;1;0;1;1
2.847280676;29.400344;2634.2;1;1;0;0;0
83.58268662;1.370433127;440.33;1;0;0;0;0
108.4914607;0.470567774;1009.34;1;0;0;1;1
8.200577834;10.87036655;3086.51;1;0;0;1;0
15.16941965;0.090202159;528.12;1;1;0;1;0
15.83962269;3.595389377;1119.3;1;0;0;1;0
4.833875879;0.382780168;791.45;1;0;0;0;0
13.88136523;1.435075522;794.16;1;1;0;0;0
13.17058784;17.93036589;971.25;1;1;1;1;0
39.06328577;2.092043944;589.6;1;1;0;0;0
5.151469713;0.518109609;324.07;1;1;0;0;0
11.92239647;2.233702578;901.76;1;0;0;0;0
0.350379385;6.00597851;1576.13;0;0;0;1;0
33.53267185;0.202861708;454.56;1;0;0;0;0
24.04392808;17.47571362;617.37;1;1;0;1;0
1.125915104;0.428498375;1516.16;0;0;0;1;0
1.529795998;0.762501327;960.33;0;1;0;1;0
12.82610325;0.892390476;745.44;1;0;0;1;0
42.83002297;0.295558935;288.62;1;1;0;0;0
69.34066171;0.339553393;1143.03;1;0;0;1;0
115.8472856;0.097385624;714.36;1;1;0;1;0
9.66129124;2.748550423;198.19;1;0;0;1;0
4.917175051;0.163736712;2215.63;1;0;0;1;0
121.7182697;0.793325429;1207.53;1;0;0;0;0
7.125687084;2.169013563;44.92;1;1;1;1;0
172.8603465;0.135708378;2005.97;1;1;1;0;0
8.377949401;1.099673143;366.84;1;1;0;1;0
12.03354699;0.111503169;1711.98;1;1;0;1;0
20.30504406;2.681287148;2426.11;1;1;0;1;0
71.62984345;0.161953801;3150.16;1;0;0;0;0
22.22418554;0.10835169;71.24;1;0;0;0;0
4.218030195;5.426589979;1082.35;1;0;0;1;0
3.9015896;59.25536362;480.95;1;0;0;1;1
17.92859542;1.585386053;888.45;1;1;0;1;0
6.835260029;13.30354317;77.62;1;0;0;1;0
5.012955259;2.476702924;779.27;1;0;0;1;0
0.645765075;19.98630086;839.12;0;0;0;1;0
0.276424474;0.026844812;350.75;0;0;0;1;0
27.18927404;0.275908149;991.87;1;0;1;1;0
1.38393496;5.345931457;626.32;0;0;0;0;0
11.74230387;0.883549127;610.33;1;0;0;0;0
16.64085824;3.895648588;1056.16;1;0;0;1;0
78.00159095;6.972150162;550.59;1;1;1;1;0
2.67629207;1.571256506;1175.36;1;1;0;0;0
11.42075614;7.901136826;706.68;1;0;0;1;0
9.037054108;2.028832889;308.06;1;0;0;0;0
4.073539238;15.19523071;182.44;1;0;0;1;0
6.541238393;1.475297763;860.81;1;0;0;1;0
26.13939809;3.699132776;625.44;1;1;0;1;0
5.443325104;0.988296358;2024.19;1;1;0;0;0
4.004806656;1.322252575;163.76;1;1;0;0;0
13.11775246;0.030038741;1151.57;1;0;0;1;0
2.707988082;1.885779082;205.35;1;0;0;0;0
5.66081213;1.089756009;2363.82;1;0;0;1;0
9.378678986;5.736816776;1609.63;1;0;0;1;0
17.26431564;1.039951436;2011.59;1;0;0;0;0
62.90298295;28.78336978;586.09;1;0;0;1;0
0.194552885;0.981866619;666.02;0;0;0;1;0
