Stock;Index
MMMC34;BDRX
RRRP3;IBOV IBRA IBXX IGCT IGCX IGNM ITAG IVBX SMLL
TTEN3;AGFS IBRA ICON IGCT IGCX IGNM ITAG SMLL
ABUD34;BDRX
A1BB34;BDRX
ABTT34;BDRX
ABBV34;BDRX
ABCB4;IBRA IDIV IFNC IGCT IGCX ITAG SMLL
ACNB34;BDRX
ATVI34;BDRX
ADBE34;BDRX
A1AP34;BDRX
A1MD34;BDRX
A1EG34;BDRX
AERI3;GPTW IBRA IGCT IGCX IGNM INDX ITAG SMLL
AESB3;IBRA IDIV IEEX IGCT IGCX IGNM ISEE ITAG SMLL UTIL
A1ES34;BDRX
AGXY3;IGCX IGNM ITAG
AIRB34;BDRX
A1KA34;BDRX
A1LB34;BDRX
A1RE34;BDRX
ALSO3;IBRA IGCT IGCX IGNM IMOB ITAG SMLL
BABA34;BDRX
A1LG34;BDRX
AALR3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
ALLD3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
A1LN34;BDRX
ALPA3;IGCX
ALPA4;GPTW IBOV IBRA IBXX ICON IGCT IGCX INDX IVBX MLCX
APER3;IGCX IGNM ITAG
GOGL34;BDRX
GOGL35;BDRX
AVLL3;IGCX IGNM ITAG
A1YX34;BDRX
MOOO34;BDRX
ALUP11;IBRA IDIV IEEX IGCT IGCX ITAG SMLL UTIL
AMZO34;BDRX
ABEV3;AGFS GPTW IBOV IBRA IBXL IBXX ICO2 ICON INDX MLCX
AMBP3;IBRA IGCT IGCX IGNM ISEE ITAG SMLL UTIL
A2MC34;BDRX
A1CR34;BDRX
A1MX34;BDRX
AALL34;BDRX
AXPB34;BDRX
T1OW34;BDRX
AMER3;GPTW IBOV IBRA IBXL IBXX ICO2 ICON IGCT IGCX IGNM ISEE ITAG MLCX
AMGN34;BDRX
A1UA34;BDRX
ANIM3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
A1PA34;BDRX
A1IV34;BDRX
AAPL34;BDRX
A1MT34;BDRX
ARMT34;BDRX
ARZZ3;AGFS GPTW IBRA IBXX ICON IGCT IGCX IGNM ISEE ITAG SMLL
ARML3;AGFS IBRA IGCT IGCX IGNM ITAG SMLL
ASML34;BDRX
ASAI3;AGFS IBOV IBRA IBXX ICON IGCT IGCX IGNM ITAG IVBX MLCX
A1ZN34;BDRX
T1AM34;BDRX
ATTB34;BDRX
AURE3;IBRA IBXX IEEX IGCT IGCX IGNM ITAG MLCX UTIL
A1UT34;BDRX
A1TH34;BDRX
A1VB34;BDRX
AZUL4;IBOV IBRA IBXL IBXX ICO2 IGCT IGCX ISEE ITAG IVBX SMLL
B3SA3;GPTW IBOV IBRA IBXL IBXX ICO2 IDIV IFNC IGCT IGCX IGNM ITAG MLCX
BAHI3;ITAG
BIDU34;BDRX
BMGB4;IBRA IFNC IGCT IGCX ITAG SMLL
BPAN4;GPTW IBOV IBRA IBXX IFNC IGCT IGCX ITAG IVBX MLCX
B1SA34;BDRX
BGIP3;ITAG
BGIP4;ITAG
BOAC34;BDRX
BRSR3;IGCX ITAG
BRSR6;IBRA IDIV IFNC IGCT IGCX ITAG SMLL
B1CS34;BDRX
BBSE3;IBOV IBRA IBXL IBXX IDIV IFNC IGCT IGCX IGNM ITAG IVBX MLCX
BMOB3;GPTW IBRA IGCT IGCX IGNM ITAG SMLL
BERK34;BDRX
BBYY34;BDRX
B2YN34;BDRX
B1IL34;BDRX
BIIB34;BDRX
BIOM3;ITAG
B1NT34;BDRX
BKBR3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
BLAK34;BDRX
BLAU3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
S2QU34;BDRX
BONY34;BDRX
